@relation chunk

@attribute pos_1 {#, $, "''", (, ), ",", ., :, CC, CD, DT, EX, FW, IN, JJ, JJR, JJS, MD, NN, NNP, NNPS, NNS, PDT, POS, PRP, PRP$, RB, RBR, RBS, RP, SYM, TO, UH, VB, VBD, VBG, VBN, VBP, VBZ, WDT, WP, WP$, WRB, ``}
@attribute pos {#, $, "''", (, ), ",", ., :, CC, CD, DT, EX, FW, IN, JJ, JJR, JJS, MD, NN, NNP, NNPS, NNS, PDT, POS, PRP, PRP$, RB, RBR, RBS, RP, SYM, TO, UH, VB, VBD, VBG, VBN, VBP, VBZ, WDT, WP, WP$, WRB, ``}
@attribute pos1 {#, $, "''", (, ), ",", ., :, CC, CD, DT, EX, FW, IN, JJ, JJR, JJS, MD, NN, NNP, NNPS, NNS, PDT, POS, PRP, PRP$, RB, RBR, RBS, RP, SYM, TO, UH, VB, VBD, VBG, VBN, VBP, VBZ, WDT, WP, WP$, WRB, ``}
@attribute chunk {B-ADJP, B-ADVP, B-CONJP, B-INTJ, B-LST, B-NP, B-PP, B-PRT, B-SBAR, B-UCP, B-VP, I-ADJP, I-ADVP, I-CONJP, I-INTJ, I-NP, I-PP, I-PRT, I-SBAR, I-UCP, I-VP, O}

@data
NN, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, NN, I-NP
NN, NN, MD, I-NP
NN, MD, VB, B-VP
MD, VB, PRP$, I-VP
VB, PRP$, NN, B-NP
PRP$, NN, RB, I-NP
NN, RB, TO, B-ADVP
RB, TO, JJ, B-PP
TO, JJ, NNS, B-NP
JJ, NNS, ",", I-NP
NNS, ",", VBG, O
",", VBG, DT, B-VP
VBG, DT, NN, B-NP
DT, NN, NN, I-NP
NN, NN, IN, I-NP
NN, IN, IN, B-ADVP
IN, IN, DT, B-PP
IN, DT, NNS, B-NP
DT, NNS, IN, I-NP
NNS, IN, JJ, B-PP
IN, JJ, NN, B-NP
JJ, NN, IN, I-NP
NN, IN, NNP, B-PP
IN, NNP, NNP, B-NP
NNP, NNP, NNP, I-NP
NNP, NNP, ., I-NP
NNP, ., RB, O
., RB, IN, B-ADVP
RB, IN, DT, B-PP
IN, DT, NNP, B-NP
DT, NNP, NNP, I-NP
NNP, NNP, NN, I-NP
NNP, NN, NN, I-NP
NN, NN, ",", I-NP
NN, ",", DT, O
",", DT, NN, B-NP
DT, NN, VBD, I-NP
NN, VBD, VBN, B-VP
VBD, VBN, IN, I-VP
VBN, IN, CD, B-PP
IN, CD, NNS, B-NP
CD, NNS, ",", I-NP
NNS, ",", IN, O
",", IN, IN, B-ADVP
IN, IN, CD, B-PP
IN, CD, NNS, B-NP
CD, NNS, JJ, I-NP
NNS, JJ, NNP, B-NP
JJ, NNP, IN, I-NP
NNP, IN, NNP, B-PP
IN, NNP, NNP, B-NP
NNP, NNP, ., I-NP
NNP, ., DT, O
., DT, NNP, B-NP
DT, NNP, NN, I-NP
NNP, NN, VBD, I-NP
NN, VBD, RB, B-VP
VBD, RB, VBG, I-VP
RB, VBG, NNS, I-VP
VBG, NNS, IN, B-NP
NNS, IN, CD, B-PP
IN, CD, NN, B-NP
CD, NN, ",", I-NP
NN, ",", IN, O
",", IN, IN, B-ADVP
IN, IN, CD, B-PP
IN, CD, NN, B-NP
CD, NN, IN, I-NP
NN, IN, NNP, B-PP
IN, NNP, NNP, B-NP
NNP, NNP, JJ, I-NP
NNP, JJ, NNP, B-NP
JJ, NNP, ., I-NP
NNP, ., IN, O
., IN, NNP, B-PP
IN, NNP, IN, B-NP
NNP, IN, NNP, B-PP
IN, NNP, ",", B-NP
NNP, ",", DT, O
",", DT, NNP, B-NP
DT, NNP, NN, I-NP
NNP, NN, VBD, I-NP
NN, VBD, IN, B-VP
VBD, IN, NN, B-PP
IN, NN, IN, B-NP
NN, IN, CD, B-PP
IN, CD, NN, B-NP
CD, NN, ",", I-NP
NN, ",", IN, O
",", IN, IN, B-ADVP
IN, IN, NNP, B-PP
IN, NNP, POS, B-NP
NNP, POS, NNP, B-NP
POS, NNP, NN, I-NP
NNP, NN, IN, I-NP
NN, IN, CD, B-PP
IN, CD, NN, B-NP
CD, NN, ., I-NP
NN, ., IN, O
., IN, DT, B-PP
IN, DT, NNP, B-NP
DT, NNP, NNP, I-NP
NNP, NNP, IN, I-NP
NNP, IN, NNP, B-PP
IN, NNP, NNP, B-NP
NNP, NNP, ",", I-NP
NNP, ",", NN, O
",", NN, IN, B-NP
NN, IN, JJ, B-PP
IN, JJ, NN, B-NP
JJ, NN, VBD, I-NP
NN, VBD, IN, B-VP
VBD, IN, $, B-PP
IN, $, CD, B-NP
$, CD, DT, I-NP
CD, DT, NN, B-NP
DT, NN, ",", I-NP
NN, ",", IN, O
",", IN, CD, B-ADVP
IN, CD, NNS, B-NP
CD, NNS, ., I-NP
NNS, ., VBN, O
., VBN, NN, B-NP
VBN, NN, VBD, I-NP
NN, VBD, DT, B-VP
VBD, DT, NN, B-NP
DT, NN, CD, I-NP
NN, CD, CD, I-NP
CD, CD, NNS, I-NP
CD, NNS, ., I-NP
NNS, ., IN, O
., IN, JJ, B-PP
IN, JJ, NN, B-NP
JJ, NN, IN, I-NP
NN, IN, NNP, B-PP
IN, NNP, NNP, B-NP
NNP, NNP, NNP, I-NP
NNP, NNP, ",", B-NP
NNP, ",", NN, O
",", NN, VBD, B-NP
NN, VBD, VBN, B-VP
VBD, VBN, IN, I-VP
VBN, IN, $, B-PP
IN, $, CD, B-NP
$, CD, DT, I-NP
CD, DT, NN, B-NP
DT, NN, ., I-NP
NN, ., NNP, O
., NNP, NNP, B-NP
NNP, NNP, NNP, I-NP
NNP, NNP, NNP, I-NP
NNP, NNP, NNP, I-NP
NNP, NNP, VBD, I-NP
NNP, VBD, PRP, B-VP
VBD, PRP, VBD, B-NP
PRP, VBD, TO, B-VP
VBD, TO, VB, I-VP
TO, VB, NNP, I-VP
VB, NNP, NNP, B-NP
NNP, NNP, NNP, I-NP
NNP, NNP, NNP, I-NP
NNP, NNP, IN, I-NP
NNP, IN, $, B-PP
IN, $, CD, B-NP
$, CD, DT, I-NP
CD, DT, NN, B-NP
DT, NN, ., I-NP
NN, ., IN, O
., IN, DT, B-PP
IN, DT, NNP, B-NP
DT, NNP, CD, I-NP
NNP, CD, NN, I-NP
CD, NN, TO, I-NP
NN, TO, NNP, B-PP
TO, NNP, NNP, B-NP
NNP, NNP, POS, I-NP
NNP, POS, NN, B-NP
POS, NN, ",", I-NP
NN, ",", NNP, O
",", NNP, NNP, B-NP
NNP, NNP, VBD, I-NP
NNP, VBD, DT, B-VP
VBD, DT, NN, B-NP
DT, NN, VBZ, I-NP
NN, VBZ, NN, B-VP
VBZ, NN, TO, B-ADJP
NN, TO, DT, B-PP
TO, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, NN, I-NP
NN, NN, IN, I-NP
NN, IN, DT, B-PP
IN, DT, RB, B-ADVP
DT, RB, IN, I-ADVP
RB, IN, NNP, B-PP
IN, NNP, CD, B-NP
NNP, CD, ., I-NP
CD, ., DT, O
., DT, NN, B-NP
DT, NN, ",", I-NP
NN, ",", VBN, O
",", VBN, TO, B-VP
VBN, TO, DT, B-PP
TO, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, DT, B-PP
IN, DT, NNP, B-NP
DT, NNP, CC, I-NP
NNP, CC, NNP, I-NP
CC, NNP, NNP, I-NP
NNP, NNP, ",", I-NP
NNP, ",", VBD, O
",", VBD, DT, B-VP
VBD, DT, NN, B-NP
DT, NN, VBZ, I-NP
NN, VBZ, RB, B-VP
VBZ, RB, JJ, B-ADVP
RB, JJ, IN, B-ADJP
JJ, IN, VBG, B-PP
IN, VBG, JJ, B-VP
VBG, JJ, NN, B-NP
JJ, NN, ., I-NP
NN, ., DT, O
., DT, NNP, B-NP
DT, NNP, NNP, I-NP
NNP, NNP, NN, I-NP
NNP, NN, VBD, I-NP
NN, VBD, TO, B-VP
VBD, TO, VB, I-VP
TO, VB, IN, I-VP
VB, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, ., I-NP
NN, ., DT, O
., DT, $, B-NP
DT, $, JJ, I-NP
$, JJ, NN, I-NP
JJ, NN, VBZ, I-NP
NN, VBZ, DT, B-VP
VBZ, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, RB, B-PP
IN, RB, $, B-NP
RB, $, CD, I-NP
$, CD, CD, I-NP
CD, CD, ., I-NP
CD, ., NNP, O
., NNP, NNP, B-NP
NNP, NNP, RB, I-NP
NNP, RB, VBZ, B-ADVP
RB, VBZ, CD, B-VP
VBZ, CD, NNS, B-NP
CD, NNS, JJ, I-NP
NNS, JJ, ., B-ADJP
JJ, ., PRP$, O
., PRP$, NN, B-NP
PRP$, NN, VBD, I-NP
NN, VBD, IN, B-VP
VBD, IN, $, B-PP
IN, $, CD, B-NP
$, CD, ",", I-NP
CD, ",", IN, O
",", IN, $, B-ADVP
IN, $, CD, B-NP
$, CD, ",", I-NP
CD, ",", IN, O
",", IN, JJ, B-PP
IN, JJ, JJ, B-NP
JJ, JJ, NN, I-NP
JJ, NN, ., I-NP
NN, ., DT, O
., DT, NN, B-NP
DT, NN, VBZ, I-NP
NN, VBZ, DT, B-VP
VBZ, DT, NNP, B-NP
DT, NNP, ",", I-NP
NNP, ",", NNP, I-NP
",", NNP, ",", I-NP
NNP, ",", NN, I-NP
",", NN, IN, I-NP
NN, IN, JJ, B-PP
IN, JJ, NNS, B-NP
JJ, NNS, ., I-NP
NNS, ., NNP, O
., NNP, NNP, B-NP
NNP, NNP, RB, I-NP
NNP, RB, VBD, B-ADVP
RB, VBD, IN, B-VP
VBD, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, PRP, B-SBAR
IN, PRP, VBD, B-NP
PRP, VBD, PRP$, B-VP
VBD, PRP$, NN, B-NP
PRP$, NN, IN, I-NP
NN, IN, NNP, B-PP
IN, NNP, NNP, B-NP
NNP, NNP, TO, I-NP
NNP, TO, CD, B-PP
TO, CD, NN, B-NP
CD, NN, ., I-NP
NN, ., PRP, O
., PRP, RB, B-NP
PRP, RB, VBZ, B-ADVP
RB, VBZ, CD, B-VP
VBZ, CD, NNP, B-NP
CD, NNP, NNP, I-NP
NNP, NNP, JJ, I-NP
NNP, JJ, NNS, I-NP
JJ, NNS, ",", I-NP
NNS, ",", VBG, O
",", VBG, CD, B-PP
VBG, CD, NNS, B-NP
CD, NNS, VBD, I-NP
NNS, VBD, JJ, B-VP
VBD, JJ, NNP, B-NP
JJ, NNP, IN, I-NP
NNP, IN, $, B-PP
IN, $, CD, B-NP
$, CD, TO, I-NP
CD, TO, $, I-NP
TO, $, CD, I-NP
$, CD, DT, I-NP
CD, DT, NN, B-NP
DT, NN, ., I-NP
NN, ., NNP, O
., NNP, JJ, B-NP
NNP, JJ, NNP, I-NP
JJ, NNP, NNP, I-NP
NNP, NNP, CC, I-NP
NNP, CC, NNP, I-NP
CC, NNP, NNP, I-NP
NNP, NNP, NN, I-NP
NNP, NN, NNP, B-VP
NN, NNP, NNP, B-NP
NNP, NNP, NNP, I-NP
NNP, NNP, NNP, I-NP
NNP, NNP, ",", I-NP
NNP, ",", DT, O
",", DT, JJ, B-NP
DT, JJ, JJ, I-NP
JJ, JJ, NN, I-NP
JJ, NN, IN, I-NP
NN, IN, NNP, B-PP
IN, NNP, NNP, B-NP
NNP, NNP, NNP, I-NP
NNP, NNP, NNP, I-NP
NNP, NNP, ., I-NP
NNP, ., DT, O
., DT, JJ, B-NP
DT, JJ, JJ, I-NP
JJ, JJ, NN, I-NP
JJ, NN, IN, I-NP
NN, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, VBZ, I-NP
NN, VBZ, NNP, B-VP
VBZ, NNP, NNP, B-NP
NNP, NNP, NNP, I-NP
NNP, NNP, NNP, I-NP
NNP, NNP, ",", I-NP
NNP, ",", DT, O
",", DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, IN, I-NP
NN, IN, NNP, B-PP
IN, NNP, NNP, B-NP
NNP, NNP, NNP, I-NP
NNP, NNP, ., I-NP
NNP, ., DT, O
., DT, NNP, B-NP
DT, NNP, NNP, B-NP
NNP, NNP, CC, I-NP
NNP, CC, NNP, O
CC, NNP, NNP, B-NP
NNP, NNP, VBP, I-NP
NNP, VBP, VBN, B-VP
VBP, VBN, IN, I-VP
VBN, IN, NNP, B-PP
IN, NNP, ., B-NP
NNP, ., NN, O
., NN, NNS, B-NP
NN, NNS, ",", I-NP
NNS, ",", VBG, O
",", VBG, IN, B-VP
VBG, IN, RBS, B-PP
IN, RBS, IN, B-NP
RBS, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, IN, B-PP
IN, IN, NN, I-PP
IN, NN, VBN, B-NP
NN, VBN, IN, B-VP
VBN, IN, NN, B-PP
IN, NN, ",", B-NP
NN, ",", VBP, O
",", VBP, VBG, B-VP
VBP, VBG, IN, I-VP
VBG, IN, ",", B-PRT
IN, ",", VBG, O
",", VBG, RB, B-VP
VBG, RB, CC, B-ADVP
RB, CC, VBG, O
CC, VBG, TO, B-VP
VBG, TO, VB, I-VP
TO, VB, NN, I-VP
VB, NN, ., B-NP
NN, ., NNP, O
., NNP, ",", B-NP
NNP, ",", VBG, I-NP
",", VBG, CC, I-NP
VBG, CC, NN, I-NP
CC, NN, NNS, I-NP
NN, NNS, VBP, I-NP
NNS, VBP, VBN, B-VP
VBP, VBN, NN, I-VP
VBN, NN, NNS, B-NP
NN, NNS, ",", I-NP
NNS, ",", VBN, O
",", VBN, IN, B-VP
VBN, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, CC, I-NP
NN, CC, JJ, O
CC, JJ, JJ, B-NP
JJ, JJ, NN, I-NP
JJ, NN, ",", I-NP
NN, ",", VBG, O
",", VBG, JJR, B-VP
VBG, JJR, NNS, B-NP
JJR, NNS, CC, I-NP
NNS, CC, VBD, O
CC, VBD, NN, B-NP
VBD, NN, IN, I-NP
NN, IN, NN, B-PP
IN, NN, NN, B-NP
NN, NN, ., I-NP
NN, ., JJ, O
., JJ, NNS, B-NP
JJ, NNS, VBP, I-NP
NNS, VBP, PRP, B-VP
VBP, PRP, VBP, B-NP
PRP, VBP, NN, B-VP
VBP, NN, NNS, B-NP
NN, NNS, TO, I-NP
NNS, TO, VB, B-VP
TO, VB, IN, I-VP
VB, IN, JJS, B-ADVP
IN, JJS, RB, I-ADVP
JJS, RB, RB, B-ADVP
RB, RB, IN, I-ADVP
RB, IN, NN, B-PP
IN, NN, CC, B-NP
NN, CC, RB, B-ADVP
CC, RB, RBR, I-ADVP
RB, RBR, IN, B-ADVP
RBR, IN, DT, B-PP
IN, DT, JJ, B-NP
DT, JJ, JJ, I-NP
JJ, JJ, NNS, I-NP
JJ, NNS, ., I-NP
NNS, ., DT, O
., DT, VBZ, B-NP
DT, VBZ, DT, B-VP
VBZ, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, IN, I-NP
NN, IN, JJ, B-PP
IN, JJ, NNS, B-NP
JJ, NNS, WRB, I-NP
NNS, WRB, NN, B-ADVP
WRB, NN, NN, B-NP
NN, NN, VBD, I-NP
NN, VBD, DT, B-VP
VBD, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, IN, I-NP
NN, IN, NNP, B-PP
IN, NNP, NN, B-NP
NNP, NN, ",", I-NP
NN, ",", VBG, O
",", VBG, TO, B-VP
VBG, TO, VB, I-VP
TO, VB, NN, I-VP
VB, NN, CC, B-NP
NN, CC, VB, O
CC, VB, NNP, B-VP
VB, NNP, NN, B-NP
NNP, NN, RBR, I-NP
NN, RBR, JJ, B-ADJP
RBR, JJ, RB, I-ADJP
JJ, RB, ., B-ADVP
RB, ., ``, O
., ``, NN, O
``, NN, VBZ, B-NP
NN, VBZ, VBN, B-VP
VBZ, VBN, IN, I-VP
VBN, IN, IN, B-PRT
IN, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, JJ, B-PP
IN, JJ, NNS, B-NP
JJ, NNS, IN, I-NP
NNS, IN, NN, B-PP
IN, NN, NN, B-NP
NN, NN, ",", I-NP
NN, ",", CC, O
",", CC, NNS, O
CC, NNS, VBP, B-NP
NNS, VBP, VBG, B-VP
VBP, VBG, TO, I-VP
VBG, TO, VB, I-VP
TO, VB, IN, I-VP
VB, IN, "''", B-ADVP
IN, "''", IN, O
"''", IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, ``, I-NP
NN, ``, RB, O
``, RB, TO, B-ADJP
RB, TO, CC, B-PP
TO, CC, RB, O
CC, RB, JJR, B-ADJP
RB, JJR, IN, I-ADJP
JJR, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, NN, I-NP
NN, NN, ",", I-NP
NN, ",", "''", O
",", "''", VBD, O
"''", VBD, NNP, B-VP
VBD, NNP, NNP, B-NP
NNP, NNP, ",", I-NP
NNP, ",", NN, O
",", NN, IN, B-NP
NN, IN, NNS, B-PP
IN, NNS, IN, B-NP
NNS, IN, NNP, B-PP
IN, NNP, NNP, B-NP
NNP, NNP, NNP, I-NP
NNP, NNP, ., I-NP
NNP, ., NNS, O
., NNS, VBN, B-NP
NNS, VBN, RB, B-VP
VBN, RB, IN, B-ADVP
RB, IN, NNP, B-PP
IN, NNP, NNP, B-NP
NNP, NNP, NNP, I-NP
NNP, NNP, VBD, I-NP
NNP, VBD, PRP, B-VP
VBD, PRP, VBP, B-NP
PRP, VBP, PRP$, B-VP
VBP, PRP$, JJ, B-NP
PRP$, JJ, ",", I-NP
JJ, ",", NN, I-NP
",", NN, CC, I-NP
NN, CC, NN, I-NP
CC, NN, NNS, I-NP
NN, NNS, TO, I-NP
NNS, TO, VB, B-VP
TO, VB, IN, I-VP
VB, IN, CD, B-NP
IN, CD, NN, I-NP
CD, NN, DT, I-NP
NN, DT, NN, B-NP
DT, NN, ., I-NP
NN, ., RB, O
., RB, CD, B-NP
RB, CD, NN, I-NP
CD, NN, IN, I-NP
NN, IN, DT, B-PP
IN, DT, CD, B-NP
DT, CD, NNS, I-NP
CD, NNS, VBN, I-NP
NNS, VBN, VBN, B-VP
VBN, VBN, PRP$, B-VP
VBN, PRP$, JJ, B-NP
PRP$, JJ, NNS, I-NP
JJ, NNS, TO, I-NP
NNS, TO, VB, B-VP
TO, VB, ",", I-VP
VB, ",", VBN, O
",", VBN, IN, B-PP
VBN, IN, CD, B-PP
IN, CD, NN, B-NP
CD, NN, WP, I-NP
NN, WP, VBD, B-NP
WP, VBD, VBN, B-VP
VBD, VBN, TO, I-VP
VBN, TO, VB, B-PP
TO, VB, NN, B-NP
VB, NN, TO, I-NP
NN, TO, VB, B-VP
TO, VB, NNS, I-VP
VB, NNS, IN, B-NP
NNS, IN, JJ, B-PP
IN, JJ, NNS, B-NP
JJ, NNS, ., I-NP
NNS, ., ``, O
., ``, DT, O
``, DT, VBZ, B-NP
DT, VBZ, DT, B-VP
VBZ, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, IN, I-NP
NN, IN, NN, B-PP
IN, NN, NN, B-NP
NN, NN, IN, I-NP
NN, IN, CD, B-PP
IN, CD, IN, B-NP
CD, IN, PRP, B-ADVP
IN, PRP, VBP, B-NP
PRP, VBP, VBN, B-VP
VBP, VBN, JJ, I-VP
VBN, JJ, DT, B-NP
JJ, DT, JJ, I-NP
DT, JJ, CC, I-NP
JJ, CC, JJ, I-NP
CC, JJ, NN, I-NP
JJ, NN, IN, I-NP
NN, IN, VBN, B-PP
IN, VBN, NN, B-NP
VBN, NN, NNS, I-NP
NN, NNS, ",", I-NP
NNS, ",", "''", O
",", "''", VBD, O
"''", VBD, NNP, B-VP
VBD, NNP, NNP, B-NP
NNP, NNP, ",", I-NP
NNP, ",", DT, O
",", DT, NN, B-NP
DT, NN, NNS, I-NP
NN, NNS, NN, I-NP
NNS, NN, IN, I-NP
NN, IN, NNP, B-PP
IN, NNP, NNP, B-NP
NNP, NNP, IN, I-NP
NNP, IN, NNP, B-PP
IN, NNP, ., B-NP
NNP, ., DT, O
., DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, NNS, B-PP
IN, NNS, CC, B-NP
NNS, CC, NN, I-NP
CC, NN, NNS, I-NP
NN, NNS, WDT, I-NP
NNS, WDT, VBD, B-NP
WDT, VBD, IN, B-VP
VBD, IN, CD, B-PP
IN, CD, VBD, B-NP
CD, VBD, NNS, B-VP
VBD, NNS, TO, B-NP
NNS, TO, VB, B-VP
TO, VB, IN, I-VP
VB, IN, NN, B-PP
IN, NN, ., B-NP
NN, ., NNP, O
., NNP, MD, B-NP
NNP, MD, VB, B-VP
MD, VB, PRP$, I-VP
VB, PRP$, NN, B-NP
PRP$, NN, RBR, I-NP
NN, RBR, RB, B-ADVP
RBR, RB, ",", I-ADVP
RB, ",", VBG, O
",", VBG, TO, B-VP
VBG, TO, NN, B-PP
TO, NN, PRP, B-NP
NN, PRP, VBD, B-NP
PRP, VBD, JJ, B-VP
VBD, JJ, TO, B-ADJP
JJ, TO, VB, B-VP
TO, VB, ., I-VP
VB, ., NNS, O
., NNS, VBP, B-NP
NNS, VBP, RB, B-VP
VBP, RB, $, B-NP
RB, $, CD, I-NP
$, CD, CD, I-NP
CD, CD, IN, I-NP
CD, IN, PRP$, B-PP
IN, PRP$, JJ, B-NP
PRP$, JJ, ",", I-NP
JJ, ",", JJ, I-NP
",", JJ, NN, I-NP
JJ, NN, CC, I-NP
NN, CC, NN, I-NP
CC, NN, NNS, I-NP
NN, NNS, ",", I-NP
NNS, ",", TO, O
",", TO, RB, B-PP
TO, RB, $, B-NP
RB, $, CD, I-NP
$, CD, CD, I-NP
CD, CD, ",", I-NP
CD, ",", CC, O
",", CC, IN, O
CC, IN, CD, B-NP
IN, CD, NN, I-NP
CD, NN, IN, I-NP
NN, IN, JJ, B-PP
IN, JJ, JJ, B-NP
JJ, JJ, NN, I-NP
JJ, NN, ",", I-NP
NN, ",", RB, O
",", RB, IN, B-ADVP
RB, IN, CD, B-PP
IN, CD, NN, B-NP
CD, NN, IN, I-NP
NN, IN, NNP, B-PP
IN, NNP, IN, B-NP
NNP, IN, CD, B-PP
IN, CD, ., B-NP
CD, ., CC, O
., CC, IN, O
CC, IN, NN, B-PP
IN, NN, IN, B-NP
NN, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, VBN, I-NP
NN, VBN, IN, B-VP
VBN, IN, IN, B-PP
IN, IN, DT, B-PP
IN, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, ",", I-NP
NN, ",", VBG, O
",", VBG, NNS, B-NP
VBG, NNS, VBP, I-NP
NNS, VBP, JJ, B-VP
VBP, JJ, TO, B-ADJP
JJ, TO, VB, B-VP
TO, VB, VBN, I-VP
VB, VBN, RB, I-VP
VBN, RB, IN, B-ADVP
RB, IN, JJR, B-PP
IN, JJR, NN, B-NP
JJR, NN, NNS, I-NP
NN, NNS, ., I-NP
NNS, ., ``, O
., ``, NNS, O
``, NNS, VBP, B-NP
NNS, VBP, VBG, B-VP
VBP, VBG, ``, I-VP
VBG, ``, DT, O
``, DT, NN, B-NP
DT, NN, POS, I-NP
NN, POS, IN, B-VP
POS, IN, ",", B-ADJP
IN, ",", "''", O
",", "''", "''", O
"''", "''", VBD, O
"''", VBD, NNP, B-VP
VBD, NNP, NNP, B-NP
NNP, NNP, ., I-NP
NNP, ., ``, O
., ``, NNS, O
``, NNS, MD, B-NP
NNS, MD, RB, B-VP
MD, RB, VB, I-VP
RB, VB, JJ, I-VP
VB, JJ, TO, B-ADJP
JJ, TO, VB, B-VP
TO, VB, IN, I-VP
VB, IN, JJ, B-PP
IN, JJ, NNS, B-NP
JJ, NNS, IN, I-NP
NNS, IN, PRP, B-SBAR
IN, PRP, VBP, B-NP
PRP, VBP, IN, B-VP
VBP, IN, DT, B-PP
IN, DT, JJ, B-NP
DT, JJ, CD, I-NP
JJ, CD, CC, I-NP
CD, CC, CD, I-NP
CC, CD, NNS, I-NP
CD, NNS, ., I-NP
NNS, ., NN, O
., NN, NNS, B-NP
NN, NNS, MD, I-NP
NNS, MD, RB, B-VP
MD, RB, VB, I-VP
RB, VB, DT, I-VP
VB, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, VBG, B-PP
IN, VBG, NN, B-VP
VBG, NN, NNS, B-NP
NN, NNS, IN, I-NP
NNS, IN, JJ, B-PP
IN, JJ, NNS, B-NP
JJ, NNS, IN, I-NP
NNS, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, ., I-NP
NN, ., "''", O
., "''", NNP, O
"''", NNP, NNP, B-NP
NNP, NNP, ",", I-NP
NNP, ",", DT, O
",", DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, NNP, B-PP
IN, NNP, NNP, B-NP
NNP, NNP, NNP, I-NP
NNP, NNP, NNP, I-NP
NNP, NNP, ",", I-NP
NNP, ",", NNP, O
",", NNP, ",", B-NP
NNP, ",", NNP, O
",", NNP, ",", B-NP
NNP, ",", VBD, O
",", VBD, ``, B-VP
VBD, ``, PRP, O
``, PRP, VBP, B-NP
PRP, VBP, VBN, B-VP
VBP, VBN, PDT, I-VP
VBN, PDT, DT, B-NP
PDT, DT, NNS, I-NP
DT, NNS, IN, I-NP
NNS, IN, NN, B-PP
IN, NN, IN, B-NP
NN, IN, JJ, B-PP
IN, JJ, NNS, B-NP
JJ, NNS, ., I-NP
NNS, ., RB, O
., RB, PRP, B-ADVP
RB, PRP, VBP, B-NP
PRP, VBP, VBG, B-VP
VBP, VBG, TO, I-VP
VBG, TO, VB, I-VP
TO, VB, JJ, I-VP
VB, JJ, JJ, B-NP
JJ, JJ, NNS, I-NP
JJ, NNS, IN, I-NP
NNS, IN, NNS, B-SBAR
IN, NNS, VBP, B-NP
NNS, VBP, NN, B-VP
VBP, NN, ",", B-NP
NN, ",", VB, O
",", VB, JJR, B-VP
VB, JJR, NN, B-NP
JJR, NN, NNS, I-NP
NN, NNS, CC, I-NP
NNS, CC, VB, O
CC, VB, JJR, B-VP
VB, JJR, IN, B-NP
JJR, IN, NN, B-PP
IN, NN, ., B-NP
NN, ., PRP, O
., PRP, MD, B-NP
PRP, MD, VB, B-VP
MD, VB, NNS, I-VP
VB, NNS, VB, B-NP
NNS, VB, TO, B-VP
VB, TO, VB, I-VP
TO, VB, DT, I-VP
VB, DT, IN, B-NP
DT, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, VBG, I-NP
NN, VBG, WDT, I-NP
VBG, WDT, VBD, B-NP
WDT, VBD, RB, B-VP
VBD, RB, ., B-ADVP
RB, ., "''", O
., "''", RB, O
"''", RB, NN, B-NP
RB, NN, VBZ, I-NP
NN, VBZ, IN, B-VP
VBZ, IN, DT, B-SBAR
IN, DT, JJ, B-NP
DT, JJ, NNS, I-NP
JJ, NNS, VBP, I-NP
NNS, VBP, IN, B-VP
VBP, IN, IN, B-ADJP
IN, IN, NNS, B-PP
IN, NNS, ., B-NP
NNS, ., ``, O
., ``, EX, O
``, EX, VBZ, B-NP
EX, VBZ, RB, B-VP
VBZ, RB, DT, B-ADVP
RB, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, NN, B-PP
IN, NN, IN, B-NP
NN, IN, NNS, B-PP
IN, NNS, IN, B-NP
NNS, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, CC, I-NP
NN, CC, NN, I-NP
CC, NN, ",", I-NP
NN, ",", "''", O
",", "''", VBD, O
"''", VBD, NNP, B-VP
VBD, NNP, NNP, B-NP
NNP, NNP, ",", I-NP
NNP, ",", NN, O
",", NN, IN, B-NP
NN, IN, NN, B-PP
